ori,2019,2021,increase
MI6362700,21.0,27.0,1
MI6371400,17.0,27.0,1
MI6375100,86.0,191.0,1
MI6378400,29.0,49.0,1
MI6380800,57.0,87.0,1
MI6381500,12.0,24.0,1
MI7017000,191.0,205.0,1
MI7417400,53.0,71.0,1
MI8018000,33.0,44.0,1
MI8118100,272.0,304.0,1
MI8121800,127.0,173.0,1
MI8234300,134.0,187.0,1
MI8234400,105.0,160.0,1
MI8234900,7203.0,8583.0,1
MI8253800,94.0,129.0,1
MI8277500,184.0,187.0,1
MI8281700,144.0,204.0,1
MI8290800,58.0,111.0,1
MN0100000,9.0,9.0,0
MN0270300,,131.0,0
MN0271100,1259.0,1929.0,1
MN0550100,97.0,102.0,1
MN0620000,48.0,119.0,1
MN0690000,16.0,12.0,0
MO0100200,35.0,269.0,1
MO0110100,182.0,235.0,1
MO0360000,22.0,32.0,1
MO0490700,101.0,101.0,0
MO0920300,26.0,84.0,1
MO0920400,64.0,67.0,1
MOKPD0000,3182.0,3380.0,1
MS0170100,37.0,58.0,1
MS0240000,15.0,16.0,1
MS0240200,81.0,94.0,1
MT0070100,103.0,108.0,1
MT0150000,76.0,90.0,1
MT0160000,27.0,61.0,1
MT0160100,33.0,60.0,1
MT0320100,133.0,235.0,1
MT0560100,190.0,432.0,1
NB0280000,19.0,36.0,1
NB0400100,113.0,101.0,0
NB0770000,2.0,3.0,1
NB0770100,27.0,9.0,0
NC0010000,52.0,93.0,1
NC0010100,160.0,231.0,1
NC0110000,104.0,69.0,0
NC0110100,274.0,334.0,1
NC0120000,27.0,31.0,1
NC0130000,13.0,20.0,1
NC0130100,44.0,38.0,0
NC0130200,42.0,57.0,1
NC0140000,28.0,40.0,1
NC0190000,23.0,36.0,1
NC0230000,41.0,68.0,1
NC0260100,741.0,954.0,1
NC0320100,840.0,1024.0,1
NC0330100,182.0,229.0,1
NC0350000,40.0,52.0,1
NC0410000,92.0,100.0,1
NC0410200,839.0,960.0,1
NC0410300,362.0,293.0,0
NC0490000,61.0,64.0,1
NC0510000,51.0,61.0,1
NC0550000,66.0,50.0,0
NC0600100,2775.0,3228.0,1
NC0600600,42.0,55.0,1
NC0630000,24.0,26.0,1
NC0650000,76.0,62.0,0
NC0650200,305.0,251.0,0
NC0680000,31.0,54.0,1
NC0680100,19.0,54.0,1
NC0740000,58.0,60.0,1
NC0740300,214.0,216.0,1
NC0780000,320.0,481.0,1
NC0790000,27.0,18.0,0
NC0800000,48.0,84.0,1
NC0820000,67.0,56.0,0
NC0900000,76.0,93.0,1
NC0920000,84.0,106.0,1
NC0920100,423.0,903.0,1
NC0920200,19.0,14.0,0
NC0920300,34.0,55.0,1
NC0960000,74.0,86.0,1
NC0970000,50.0,30.0,0
ND0080100,80.0,56.0,0
ND0090200,162.0,267.0,1
ND0180100,71.0,85.0,1
NH0063400,326.0,258.0,0
NH0064600,17.0,28.0,1
NM0010100,3471.0,3963.0,1
NM0070000,54.0,147.0,1
OH0091500,11.0,29.0,1
OH0120000,6.0,16.0,1
OH0130000,64.0,45.0,0
OH0184200,44.0,60.0,1
OH0230000,29.0,27.0,0
OH0250000,7.0,14.0,1
OH0250300,10.0,2.0,0
OH0314200,18.0,50.0,1
OH0314400,6.0,26.0,1
OH0450100,58.0,55.0,0
OH0470000,15.0,26.0,1
OH0470400,43.0,61.0,1
OH0470500,133.0,198.0,1
OH0480000,47.0,45.0,0
OH0480700,1108.0,1400.0,1
OH0500900,106.0,266.0,1
OH0570000,107.0,123.0,1
OH0570200,614.0,839.0,1
OH0700000,12.0,21.0,1
OH0710000,49.0,34.0,0
OH0730000,22.0,19.0,0
OH0760000,40.0,52.0,1
OH0760400,492.0,564.0,1
OH0770000,22.0,41.0,1
OH0770100,917.0,921.0,1
OH0830000,23.0,17.0,0
OH0850000,16.0,16.0,0
OHCIP0000,1106.0,1272.0,1
OHCLP0000,2309.0,2966.0,1
OHCOP0000,1323.0,1799.0,1
OK0140200,101.0,133.0,1
OK0550300,47.0,51.0,1
OK0600200,76.0,47.0,0
OR0020100,8.0,31.0,1
OR0030000,159.0,180.0,1
OR0090000,31.0,30.0,0
OR0090100,39.0,51.0,1
OR0100000,46.0,84.0,1
OR0150000,38.0,32.0,0
OR0150400,139.0,74.0,0
OR0200200,155.0,216.0,1
OR0200600,32.0,35.0,1
OR0220000,15.0,17.0,1
OR0220100,20.0,27.0,1
OR0240200,276.0,430.0,1
OR0260100,162.0,190.0,1
OR0260200,1505.0,2150.0,1
OR0340000,148.0,261.0,1
OR0340100,66.0,88.0,1
OR0340300,103.0,118.0,1
OR0340400,44.0,53.0,1
RI0020300,27.0,19.0,0
RI0040200,51.0,45.0,0
RI0040800,126.0,132.0,1
RI0040900,383.0,346.0,0
SC0040000,352.0,424.0,1
SC0070000,198.0,196.0,0
SC0080000,139.0,231.0,1
SC0100000,118.0,121.0,1
SC0100100,218.0,300.0,1
SC0100300,40.0,40.0,0
SC0100800,460.0,538.0,1
SC0160000,191.0,232.0,1
SC0180000,166.0,164.0,0
SC0180200,51.0,39.0,0
SC0210000,235.0,281.0,1
SC0220000,74.0,74.0,0
SC0230000,874.0,869.0,0
SC0230200,184.0,253.0,1
SC0260400,335.0,441.0,1
SC0280000,70.0,96.0,1
SC0290000,144.0,170.0,1
SC0320000,288.0,341.0,1
SC0370000,97.0,124.0,1
SC0380000,338.0,402.0,1
SC0390000,119.0,98.0,0
SC0400000,1165.0,1093.0,0
SC0400100,472.0,493.0,1
SC0420000,552.0,612.0,1
SC0430000,231.0,247.0,1
SC0460000,178.0,230.0,1
SD0490200,403.0,494.0,1
SD0510100,209.0,221.0,1
TN0050000,165.0,155.0,0
TN0060000,120.0,134.0,1
TN0180000,30.0,46.0,1
TN0190100,3615.0,4368.0,1
TN0330000,128.0,181.0,1
TN0330100,1211.0,1550.0,1
TN0470000,343.0,331.0,0
TN0470100,673.0,870.0,1
TN0570100,358.0,392.0,1
TN0630000,63.0,45.0,0
TN0630100,487.0,525.0,1
TN0750000,120.0,147.0,1
TN0750100,298.0,315.0,1
TN0750200,106.0,101.0,0
TN0780000,71.0,84.0,1
TN0790000,285.0,349.0,1
TN0790100,43.0,31.0,0
TN0790600,95.0,93.0,0
TN0820000,140.0,177.0,1
TN0820200,190.0,259.0,1
TN0830000,67.0,80.0,1
TN0830400,56.0,23.0,0
TN0900000,106.0,83.0,0
TN0900100,159.0,138.0,0
TN0940000,77.0,82.0,1
TN0940100,72.0,82.0,1
TN0950000,61.0,51.0,0
TNMPD0000,5467.0,7389.0,1
TX0140700,95.0,121.0,1
TX0201000,31.0,73.0,1
TX0210200,88.0,91.0,1
TX0310100,362.0,400.0,1
TX0310300,121.0,160.0,1
TX0430400,59.0,100.0,1
TX0430500,134.0,162.0,1
TX0430600,144.0,178.0,1
TX0430800,9.0,20.0,1
TX0460100,91.0,111.0,1
TX0571200,195.0,224.0,1
TX0571800,258.0,383.0,1
TX0572000,56.0,81.0,1
TX0573300,19.0,48.0,1
TX0610200,82.0,180.0,1
TX0610600,94.0,158.0,1
TX0611200,16.0,17.0,1
TX0790000,436.0,520.0,1
TX0790100,41.0,51.0,1
TX0920500,171.0,150.0,0
TX1011500,268.0,377.0,1
TX1050100,73.0,157.0,1
TX1050700,24.0,32.0,1
TX1110000,39.0,38.0,0
TX1290000,65.0,77.0,1
TX1520200,1237.0,1419.0,1
TX1551200,332.0,501.0,1
TX1700100,88.0,114.0,1
TX1840000,62.0,86.0,1
TX1880100,721.0,829.0,1
TX2120400,205.0,264.0,1
TX2200100,985.0,1130.0,1
TX2201200,1935.0,2551.0,1
TX2202100,60.0,65.0,1
TX2210100,200.0,272.0,1
