ori,,2019,2021,perc_21_19
ID0140200,Nampa Police Department,22.0,48.0,2.1818181818181817
ID0280000,Kootenai County Sheriff's Office,26.0,24.0,0.9230769230769231
ID0280100,Coeur d'Alene Police Department,11.0,18.0,1.6363636363636365
ID0420200,Twin Falls Police Department,21.0,28.0,1.3333333333333333
IL1010400,Rockford Police Department,318.0,603.0,1.8962264150943395
IN0320000,Hendricks County Sheriff's Office,,11.0,
IN0530100,Bloomington Police Department,0.0,52.0,inf
IN0710000,St. Joseph County Sheriff's Office,3.0,22.0,7.333333333333333
IN0840100,Terre Haute Police Department,11.0,34.0,3.090909090909091
INIPD0000,Indianapolis Police Department,0.0,1763.0,inf
KS0460500,Olathe Police Department,29.0,52.0,1.793103448275862
KS0460900,Shawnee Police Department,23.0,33.0,1.434782608695652
KS0461000,Lenexa Police Department,6.0,15.0,2.5
KS0810000,Riley County Police Department,42.0,35.0,0.8333333333333334
KS0890000,Shawnee County Sheriff's Office,19.0,17.0,0.8947368421052632
KY0080000,Boone County Sheriff's Office,2.0,3.0,1.5
KY0300100,Owensboro Police Department,12.0,19.0,1.5833333333333333
KY0340200,Lexington Police Department,114.0,123.0,1.0789473684210527
KY0470000,Hardin County Sheriff's Office,2.0,1.0,0.5
KY0568000,Louisville Metro Police Department,1097.0,2045.0,1.8641750227894258
KY0630000,Laurel County Sheriff's Office,1.0,3.0,3.0
KY0930400,Oldham County Police Department,0.0,0.0,
KY1000000,Pulaski County Sheriff's Office,1.0,1.0,1.0
KY1140000,Warren County Sheriff's Office,3.0,4.0,1.3333333333333333
KY1140100,Bowling Green Police Department,12.0,17.0,1.4166666666666667
LA0030000,Ascension Parish Sheriff's Office,61.0,116.0,1.901639344262295
LA0100000,Calcasieu Parish Sheriff's Office,80.0,106.0,1.325
LA0290000,Lafourche Parish Sheriff's Office,44.0,78.0,1.7727272727272727
LA0370000,Ouachita Parish Sheriff's Office,85.0,116.0,1.3647058823529412
LA0400000,Rapides Parish Sheriff's Office,46.0,82.0,1.7826086956521738
MA0030800,Fall River Police Department,45.0,70.0,1.5555555555555556
MA0031100,New Bedford Police Department,33.0,44.0,1.3333333333333333
MA0031900,Taunton Police Department,14.0,13.0,0.9285714285714286
MA0051100,Haverhill Police Department,23.0,23.0,1.0
MA0051400,Lynn Police Department,44.0,37.0,0.8409090909090909
MA0051900,Methuen Police Department,9.0,2.0,0.2222222222222222
MA0052500,Peabody Police Department,0.0,13.0,inf
MA0070500,Chicopee Police Department,15.0,16.0,1.0666666666666667
MA0071800,Springfield Police Department,159.0,230.0,1.4465408805031446
MA0091100,Cambridge Police Department,18.0,28.0,1.5555555555555556
MA0091800,Framingham Police Department,8.0,7.0,0.875
MA0092600,Lowell Police Department,27.0,47.0,1.7407407407407407
MA0092700,Malden Police Department,11.0,13.0,1.1818181818181819
MA0093000,Medford Police Department,10.0,5.0,0.5
MA0093300,Newton Police Department,2.0,2.0,1.0
MA0093900,Somerville Police Department,15.0,14.0,0.9333333333333333
MA0094700,Waltham Police Department,0.0,3.0,inf
MA0110400,Brookline Police Department,0.0,1.0,inf
MA0112000,Quincy Police Department,6.0,13.0,2.1666666666666665
MA0112700,Weymouth Police Department,3.0,5.0,1.6666666666666667
MA0120300,Brockton Police Department,61.0,72.0,1.180327868852459
MA0122000,Plymouth Police Department,8.0,5.0,0.625
MA0130400,Revere Police Department,16.0,12.0,0.75
MA0146000,Worcester Police Department,111.0,121.0,1.09009009009009
MD0160400,Montgomery County Police Department,84.0,165.0,1.9642857142857142
ME0060000,Kennebec County Sheriff's Office,2.0,0.0,0.0
MI0310300,Allegan County Sheriff's Office,10.0,12.0,1.2
MI0910900,Bay County Sheriff's Office,4.0,6.0,1.5
MI1111100,Berrien County Sheriff's Office,10.0,19.0,1.9
MI1323700,Battle Creek Police Department,81.0,99.0,1.2222222222222223
MI2312300,Eaton County Sheriff's Office,14.0,23.0,1.6428571428571428
MI2539800,Flint Police Department,299.0,305.0,1.020066889632107
MI2812800,Grand Traverse County Sheriff's Office,10.0,14.0,1.4
MI3313300,Ingham County Sheriff's Office,13.0,22.0,1.6923076923076923
MI3351900,Lansing Police Department,165.0,408.0,2.4727272727272727
MI3813800,Jackson County Sheriff's Office,17.0,22.0,1.2941176470588236
MI3913900,Kalamazoo County Sheriff's Office,34.0,59.0,1.7352941176470589
MI3949900,Kalamazoo Police Department,136.0,277.0,2.036764705882353
MI3967800,Portage Police Department,7.0,15.0,2.142857142857143
MI4114100,Kent County Sheriff's Office,31.0,55.0,1.7741935483870968
MI4143600,Grand Rapids Police Department,129.0,374.0,2.89922480620155
MI4183400,Wyoming Police Department,43.0,66.0,1.5348837209302326
MI4185000,Kentwood Police Department,11.0,24.0,2.1818181818181817
MI4414400,Lapeer County Sheriff's Office,8.0,11.0,1.375
MI4714700,Livingston County Sheriff's Office,6.0,10.0,1.6666666666666667
MI5015000,Macomb County Sheriff's Office,27.0,45.0,1.6666666666666667
MI5072200,St. Clair Shores Police Department,10.0,11.0,1.1
MI5074000,Shelby Township Police Department,9.0,13.0,1.4444444444444444
MI5076500,Sterling Heights Police Department,15.0,36.0,2.4
MI5080600,Warren Police Department,90.0,127.0,1.4111111111111112
MI5084900,Clinton Township Police Department,35.0,55.0,1.5714285714285714
MI5915900,Montcalm County Sheriff's Office,1.0,8.0,8.0
MI6116100,Muskegon County Sheriff's Office,7.0,2.0,0.2857142857142857
MI631900X,Pontiac Police Department,126.0,160.0,1.2698412698412698
MI631910X,Rochester Hills Police Department,5.0,3.0,0.6
MI6338900,Farmington Hills Police Department,10.0,19.0,1.9
MI6362700,Novi Police Department,3.0,6.0,2.0
MI6371400,Royal Oak Police Department,3.0,7.0,2.3333333333333335
MI6375100,Southfield Police Department,32.0,98.0,3.0625
MI6378400,Troy Police Department,5.0,23.0,4.6
MI6380800,Waterford Township Police Department,13.0,22.0,1.6923076923076923
MI6381500,West Bloomfield Township Police Department,2.0,10.0,5.0
MI7017000,Ottawa County Sheriff's Office,35.0,52.0,1.4857142857142858
MI7417400,St. Clair County Sheriff's Office,9.0,17.0,1.8888888888888888
