ori,2019,2020,2021,2019_pop,2020_pop,2021_pop,2019pc,2020pc,2021pc,perc_21_19,perc_pc_21_19
IA0780100,910.0,869.0,768.0,62427,62144.0,62202,0.014577025966328672,0.0139836508753862,0.012346869875566702,0.843956043956044,0.84700884145275
IA0820200,1758.0,1795.0,1809.0,102392,101806.0,102014,0.017169310102351745,0.01763157377757696,0.01773286019565942,1.02901023890785,1.0328231064584523
IA0850100,378.0,340.0,310.0,68237,67109.0,67886,0.005539516684496681,0.0050663845385864785,0.004566479097310196,0.8201058201058201,0.8243461221247509
IA0970100,1233.0,1386.0,1783.0,82339,82628.0,82750,0.014974677856179938,0.01677397492375466,0.021546827794561935,1.446066504460665,1.4388842285291445
ID0010000,636.0,636.0,759.0,128136,133676.0,147581,0.004963476306424424,0.004757772524611748,0.0051429384541370506,1.1933962264150944,1.0361565436467062
ID0010100,2026.0,2048.0,2024.0,231314,231223.0,231902,0.008758657063558627,0.008857250360042037,0.008727824684565032,0.9990128331688055,0.996479782371903
ID0010300,670.0,669.0,709.0,111196,119203.0,126744,0.006025396596999892,0.005612274858854223,0.005593953165435839,1.0582089552238807,0.9283958450504531
ID0030200,711.0,653.0,645.0,56514,56900.0,57306,0.012580953392079838,0.011476274165202109,0.011255365930269082,0.9071729957805907,0.8946353729721898
ID0100000,487.0,493.0,557.0,56913,58217.0,62285,0.008556920211550963,0.008468316814676125,0.008942763105081481,1.1437371663244353,1.0450913277197174
ID0100200,492.0,565.0,566.0,62088,63457.0,64792,0.007924236567452649,0.008903667050128433,0.008735646376095814,1.1504065040650406,1.10239595975414
ID0140000,336.0,320.0,234.0,60676,62295.0,67118,0.0055376095985233045,0.005136848864274821,0.003486397091689264,0.6964285714285714,0.6295852081408861
ID0140200,782.0,825.0,811.0,98208,101411.0,105619,0.007962691430433365,0.008135212156472178,0.007678542686448461,1.037084398976982,0.9643149874050262
ID0280000,454.0,446.0,510.0,65850,67456.0,71492,0.006894457099468489,0.006611717267552182,0.007133665305208974,1.1233480176211454,1.0346957276387907
ID0280100,564.0,616.0,593.0,52256,53405.0,54358,0.010793018983466013,0.01153450051493306,0.01090915780565878,1.051418439716312,1.0107605501640164
ID0420200,780.0,812.0,785.0,50463,50872.0,52158,0.015456869389453658,0.015961629186979086,0.015050423712565666,1.0064102564102564,0.9737045279579504
IL1010400,4334.0,4202.0,4279.0,145719,144795.0,144027,0.029742175008063466,0.029020339100107047,0.02970970720767634,0.9873096446700508,0.9989083582361302
IN0530100,800.0,1046.0,1157.0,85542,86347.0,86118,0.009352131116878258,0.012113912469454643,0.01343505422791983,1.44625,1.4365767609558977
IN0710000,514.0,601.0,630.0,112398,109965.0,110913,0.004573035107386252,0.005465375346701223,0.005680127667631387,1.2256809338521402,1.2420914194288573
IN0840100,1364.0,1559.0,1621.0,60749,60604.0,60372,0.022453044494559583,0.025724374628737376,0.02685019545484662,1.18841642228739,1.1958376273361269
INIPD0000,7249.0,16228.0,16756.0,883699,890672.0,895826,0.008203019353875018,0.01821995077873785,0.018704525209136597,2.311491240171058,2.280200058323741
KS0460500,870.0,1432.0,1266.0,141371,142228.0,143307,0.006154020272898968,0.010068340973647946,0.008834181163516088,1.4551724137931035,1.4355138221464745
KS0460900,450.0,518.0,589.0,66300,66208.0,66710,0.006787330316742082,0.007823827936201063,0.008829260980362763,1.308888888888889,1.3008444511067805
KS0461000,378.0,379.0,371.0,56240,56508.0,57012,0.006721194879089616,0.006707014935938275,0.006507401950466569,0.9814814814814815,0.9681912319953434
KS0810000,899.0,858.0,843.0,73856,74392.0,73750,0.012172335355285962,0.011533498225615658,0.011430508474576271,0.9377085650723026,0.9390563224675251
KS0890000,359.0,345.0,285.0,49046,47565.0,50092,0.00731965909554296,0.007253232418795333,0.005689531262477042,0.7938718662952646,0.7772945690792451
KY0080000,609.0,541.0,541.0,99782,101711.0,103832,0.006103305205347658,0.005318992046091376,0.005210339779644041,0.8883415435139573,0.8536915006444034
KY0300100,934.0,920.0,893.0,60107,60430.0,60636,0.015538955529306071,0.015224226377627006,0.014727224750973019,0.9561027837259101,0.9477615611421147
KY0340200,3544.0,3948.0,3557.0,326070,325851.0,328965,0.010868831845922654,0.012115967113803548,0.010812700439256456,1.0036681715575622,0.9948355621411831
KY0470000,112.0,104.0,115.0,49654,50372.0,51133,0.0022556088129858623,0.0020646390852060667,0.0022490368255334127,1.0267857142857142,0.9970863797771078
KY0568000,10426.0,10733.0,12310.0,675501,673730.0,678236,0.01543447011921522,0.015930714084277084,0.0181500244752564,1.1807020909265298,1.1759408865394374
KY0630000,103.0,202.0,185.0,52600,52873.0,53631,0.0019581749049429656,0.0038204754789779283,0.0034494974921220937,1.796116504854369,1.7615880396662345
KY0930400,149.0,139.0,179.0,56277,56666.0,57112,0.002647618032233417,0.0024529700349415874,0.0031341924639305225,1.2013422818791946,1.183778183171933
KY1000000,85.0,111.0,93.0,50196,50699.0,51408,0.0016933620208781576,0.0021893922957060296,0.0018090569561157797,1.0941176470588236,1.0683226231669138
KY1140000,213.0,238.0,250.0,62232,61946.0,64226,0.003422676436559969,0.003842055984244342,0.00389250459315542,1.1737089201877935,1.1372692293016342
KY1140100,728.0,817.0,691.0,69627,71861.0,71826,0.010455714018986888,0.011369171038532723,0.009620471695486315,0.9491758241758241,0.9201161850846505
LA0030000,1032.0,1180.0,1321.0,115268,117322.0,118623,0.008953048547732241,0.010057789672866128,0.011136120313935747,1.2800387596899225,1.2438355778553736
LA0100000,2223.0,2388.0,2151.0,89718,90323.0,89562,0.02477763659466328,0.026438448678631134,0.02401688215984458,0.9676113360323887,0.969296731271676
LA0290000,1177.0,1106.0,1067.0,78721,78615.0,78301,0.01495153770912463,0.014068561979266044,0.013626901316713708,0.9065420560747663,0.9114046716678164
LA0370000,1640.0,1743.0,1772.0,87249,86866.0,85870,0.018796777040424532,0.020065388068979808,0.020635844881798066,1.0804878048780489,1.0978395305439022
LA0400000,1076.0,1211.0,1226.0,63662,63816.0,62893,0.01690176243284848,0.018976432242697756,0.019493425341452944,1.1394052044609666,1.1533368439475626
MA0030800,1704.0,1465.0,1700.0,89066,89136.0,90618,0.019131879729638694,0.0164355591455753,0.018760069743318106,0.9976525821596244,0.9805659458675883
MA0031100,2469.0,2231.0,2330.0,94613,94886.0,96346,0.026095779649731008,0.023512425436839998,0.024183671351171818,0.9437019036046983,0.9267272975084728
MA0031900,510.0,482.0,539.0,57028,57338.0,58333,0.008942975380514835,0.00840629251107468,0.009240052800301716,1.0568627450980392,1.03321908057962
MA0051100,1025.0,988.0,1279.0,63935,64015.0,64944,0.016031907405959177,0.015433882683745997,0.019693890120719388,1.2478048780487805,1.2284184047494575
MA0051400,1065.0,1045.0,1206.0,94449,94223.0,95727,0.011275926690594924,0.011090710336117509,0.012598326490958664,1.1323943661971831,1.1172763744080327
MA0051900,299.0,232.0,237.0,50727,50810.0,51691,0.005894296922743313,0.004566030308994292,0.0045849374165715506,0.7926421404682275,0.7778599342154683
MA0052500,313.0,287.0,338.0,53104,52975.0,53669,0.00589409460680928,0.005417649834827749,0.00629786282583987,1.0798722044728435,1.0685038578383401
MA0070500,1062.0,943.0,829.0,55293,54918.0,55332,0.019206771200694483,0.017171055027495538,0.014982288729848912,0.78060263653484,0.7800524394910884
MA0071800,4419.0,4274.0,4424.0,154306,153084.0,154098,0.028637901312975517,0.027919312273000443,0.02870900336149723,1.0011314777098892,1.0024827953607582
MA0091100,1080.0,1069.0,1118.0,119908,119938.0,121699,0.009006905294058778,0.0089129383514816,0.009186599725552387,1.0351851851851852,1.0199507406403108
MA0091800,513.0,471.0,408.0,73127,74680.0,75042,0.007015192746865043,0.00630690948044992,0.005436955305029184,0.7953216374269005,0.7750257906254758
MA0092600,1541.0,1344.0,1356.0,111423,110876.0,112230,0.013830178688421601,0.012121649410151881,0.012082330927559476,0.8799480856586632,0.8736207390924461
MA0092700,464.0,420.0,428.0,60746,60231.0,60433,0.007638363019787311,0.0069731533595656725,0.007082223288600599,0.9224137931034483,0.9271912411408016
MA0093000,304.0,283.0,267.0,57484,57137.0,61819,0.005288428084336511,0.004953007683287537,0.004319060483023019,0.8782894736842105,0.8167002394937342
MA0093300,186.0,189.0,149.0,88658,88281.0,88769,0.0020979494236278732,0.0021408910184524416,0.0016785138956167131,0.8010752688172043,0.800073575040788
MA0093900,376.0,281.0,343.0,81668,81552.0,82123,0.004604006465200568,0.003445654306454777,0.004176661836513522,0.9122340425531915,0.9071798374052829
MA0094700,348.0,297.0,228.0,62737,62339.0,62693,0.005546965905287151,0.004764272766646882,0.00363676965530442,0.6551724137931034,0.6556322352437741
MA0110400,113.0,128.0,117.0,58928,59057.0,59748,0.0019175943524300841,0.0021673975989298473,0.0019582245430809398,1.0353982300884956,1.0211881050856073
MA0112000,878.0,790.0,853.0,94113,94519.0,95737,0.009329210629774844,0.008358107893651013,0.00890982587714259,0.9715261958997722,0.9550460623866976
MA0112700,317.0,268.0,282.0,57776,58090.0,59242,0.0054867072833010245,0.0046135307281804094,0.004760136389723507,0.889589905362776,0.8675761515856951
MA0120300,1850.0,1658.0,1537.0,95287,99171.0,100516,0.019415030381898894,0.016718597170543806,0.01529109793465717,0.8308108108108108,0.787590729134961
MA0122000,488.0,540.0,444.0,60870,64199.0,66289,0.00801708559224577,0.008411345971121045,0.006697943851921133,0.9098360655737705,0.8354586931689331
MA0130400,505.0,474.0,504.0,53654,52930.0,52860,0.009412159391657657,0.008955223880597015,0.009534619750283769,0.998019801980198,1.0130108674885652
MA0146000,2844.0,2447.0,2636.0,184945,184850.0,186365,0.015377544675444051,0.01323776034622667,0.014144286749121347,0.9268635724331927,0.919801375814433
MD0160400,3972.0,3511.0,3955.0,1037258,1036020.0,1054042,0.0038293269369819275,0.0033889307156232504,0.0037522223972099784,0.9957200402819738,0.979864727916724
ME0060000,174.0,242.0,217.0,51738,51983.0,53847,0.0033630986895512,0.004655368101109978,0.004029936672423719,1.2471264367816093,1.198280825045163
MI0310300,679.0,759.0,748.0,89222,90541.0,92655,0.007610230660599404,0.008382942534321468,0.008072958825751443,1.101620029455081,1.060803434979669
MI0910900,296.0,309.0,301.0,56289,57033.0,57772,0.005258576276004193,0.0054179159434011885,0.00521013639825521,1.0168918918918919,0.990788404464147
MI1111100,555.0,499.0,661.0,50004,49663.0,51267,0.011099112071034317,0.010047721643879749,0.012893284178906509,1.190990990990991,1.1616500578054794
MI1323700,1535.0,1303.0,1395.0,60607,60479.0,60134,0.025327107429834836,0.02154466839729493,0.023198190707420095,0.9087947882736156,0.9159431558336221
MI2312300,602.0,635.0,705.0,76900,77182.0,78168,0.007828348504551365,0.008227306885025007,0.009019035922628186,1.1710963455149501,1.152099439285893
MI2539800,2664.0,1661.0,1826.0,95212,94842.0,94290,0.027979666428601436,0.01751333797262816,0.01936578640364832,0.6854354354354354,0.692137858507569
MI2812800,503.0,596.0,701.0,77482,77813.0,79332,0.006491830360599881,0.00765938853404958,0.00883628296273887,1.393638170974155,1.361138919520742
MI3313300,484.0,501.0,547.0,65765,65350.0,68436,0.0073595377480422716,0.0076664116296863045,0.007992869250102286,1.1301652892561984,1.0860558806466463
MI3351900,2564.0,2864.0,2829.0,118953,118651.0,117865,0.02155473170075576,0.024138018221506772,0.024002036227887838,1.1033541341653665,1.1135390855756404
MI3813800,522.0,464.0,624.0,64482,64321.0,65559,0.008095282404391923,0.0072138181931251065,0.009518143961927425,1.1954022988505748,1.1757642891820004
MI3913900,1127.0,1322.0,924.0,106154,108184.0,111762,0.010616651280215536,0.012219921615026252,0.008267568583239383,0.8198757763975155,0.7787360030037209
MI3949900,2972.0,3189.0,3022.0,76827,76411.0,76179,0.038684316711572755,0.041734828755022185,0.03966972525236614,1.0168236877523553,1.0254730760307986
MI3967800,539.0,474.0,490.0,49583,49798.0,50141,0.010870661315370187,0.009518454556407888,0.00977244171436549,0.9090909090909091,0.8989739842734399
MI4114100,2550.0,2607.0,2642.0,260315,261999.0,270582,0.009795824289802739,0.009950419658090298,0.009764138043180996,1.036078431372549,0.9967653312590827
MI4143600,4111.0,4284.0,4970.0,201799,202513.0,201280,0.020371756054291645,0.021154197508308107,0.024691971383147854,1.208951593286305,1.2120688720865613
MI4183400,1197.0,1322.0,1532.0,76295,76071.0,77094,0.015689101513860673,0.017378501662920168,0.019871844760941188,1.2798663324979114,1.266601834616548
MI4185000,794.0,1008.0,1057.0,52274,52263.0,52028,0.015189195393503463,0.019287067332529707,0.02031598370108403,1.3312342569269522,1.337528629710915
MI4414400,214.0,222.0,244.0,58737,58332.0,59320,0.0036433593816504076,0.003805801275457725,0.00411328388401888,1.1401869158878504,1.1289811004468084
MI4714700,279.0,270.0,302.0,125192,125493.0,127743,0.0022285769058725795,0.0021515144270995196,0.002364121713127138,1.082437275985663,1.0608212383864253
MI5015000,1399.0,1298.0,1379.0,188197,188495.0,198239,0.0074336997933017,0.006886124300379321,0.0069562497793067965,0.9857040743388135,0.935772222813582
MI5072200,462.0,466.0,439.0,59365,58898.0,58254,0.007782363345405542,0.007911983428978912,0.007535963195660383,0.9502164502164502,0.968338647425062
MI5074000,407.0,390.0,464.0,80806,81416.0,82164,0.0050367546964334335,0.004790213225901543,0.005647242101163527,1.1400491400491402,1.1212064993283044
MI5076500,1004.0,1174.0,1493.0,133377,132745.0,131911,0.007527534732375147,0.008844024257034164,0.011318237296358908,1.4870517928286853,1.503578222984524
MI5080600,1683.0,1592.0,1753.0,134653,133928.0,132758,0.012498793194358834,0.01188698405113195,0.013204477319634221,1.041592394533571,1.0564601809392196
MI5084900,1346.0,1466.0,1564.0,101308,100884.0,100094,0.013286216290914834,0.014531541176004123,0.015625312206525865,1.161961367013373,1.1760543306231221
MI5915900,82.0,113.0,231.0,50509,50416.0,50714,0.0016234730444079273,0.0022413519517613455,0.004554955239184446,2.817073170731707,2.8056857826337462
MI6116100,349.0,349.0,58.0,55748,56017.0,58165,0.006260314271363995,0.006230251530785298,0.0009971632424997851,0.166189111747851,0.15928325628331813
MI631900X,1979.0,2066.0,1947.0,59791,59411.0,58834,0.0330986268836447,0.03477470502095571,0.03309310942652208,0.9838302172814553,0.9998333025372316
MI631910X,223.0,252.0,237.0,75167,74913.0,74426,0.002966727420277515,0.0033639021264667015,0.0031843710531265956,1.062780269058296,1.0733615199568018
MI6338900,545.0,589.0,643.0,81262,80708.0,80044,0.0067067017794295,0.0072979134658274275,0.008033081805007246,1.1798165137614678,1.1977693461256858
MI6362700,291.0,305.0,354.0,61699,61554.0,61440,0.004716445971571662,0.004954998862787146,0.00576171875,1.2164948453608246,1.2216229730455328
MI6371400,282.0,208.0,271.0,59742,59506.0,59137,0.004720297278296676,0.0034954458373945485,0.0045825794341951736,0.9609929078014184,0.970824328218752
MI6375100,1003.0,1180.0,1295.0,73335,72794.0,72216,0.013676961887229836,0.016210127208286396,0.017932314168605294,1.2911266201395812,1.3111328609717539
MI6378400,393.0,406.0,476.0,84688,84441.0,83851,0.00464056300774608,0.004808090856337561,0.005676736115252054,1.2111959287531806,1.2232860766627631
MI6380800,702.0,706.0,791.0,73105,72735.0,72213,0.009602626359346146,0.009706468687701931,0.010953706396355227,1.1267806267806268,1.140699011546366
MI6381500,262.0,273.0,364.0,66067,65711.0,65720,0.00396567121255695,0.004154555553864649,0.005538648813146683,1.3893129770992367,1.396648515794511
MI7017000,2324.0,2307.0,2178.0,250234,251287.0,257424,0.009287307080572585,0.009180737563025544,0.008460749580458699,0.9371772805507745,0.9110013814614896
MI7417400,491.0,430.0,526.0,97846,97735.0,99574,0.005018089651084357,0.004399652120530005,0.005282503464759877,1.0712830957230142,1.052692126299175
MI8018000,506.0,371.0,421.0,54712,54875.0,54638,0.009248428132767949,0.006760820045558087,0.007705260075405396,0.8320158102766798,0.8331426664932411
MI8118100,1273.0,1344.0,1407.0,162050,161015.0,164766,0.007855600123418698,0.008347048411638667,0.008539383125159316,1.105263157894737,1.0870440184069656
MI8121800,880.0,783.0,870.0,122893,120647.0,119805,0.007160700772216481,0.006490008039984417,0.007261800425691749,0.9886363636363636,1.014118681493791
MI8234300,1028.0,989.0,1096.0,93902,93507.0,92930,0.010947583651040446,0.010576748264835787,0.011793823307866136,1.066147859922179,1.0772992181471264
MI8234400,825.0,991.0,996.0,55368,55105.0,54772,0.014900303424360642,0.017983849015515835,0.018184473818739503,1.2072727272727273,1.2204096319951137
