ori,,2019,2020,2021,perc_19_19,perc_20_19,perc_21_19
ID0280000,Kootenai County Sheriff's Office,26,11,24,1,0.423076923,0.923076923
ID0280100,Coeur d'Alene Police Department,11,28,18,1,2.545454545,1.636363636
ID0420200,Twin Falls Police Department,21,26,28,1,1.238095238,1.333333333
IL1010400,Rockford Police Department,318,524,603,1,1.647798742,1.896226415
IN0320000,Hendricks County Sheriff's Office,,7,11,#DIV/0!,#DIV/0!,#DIV/0!
IN0530100,Bloomington Police Department,0,41,52,#DIV/0!,#DIV/0!,#DIV/0!
IN0710000,St. Joseph County Sheriff's Office,3,8,22,1,2.666666667,7.333333333
IN0840100,Terre Haute Police Department,11,33,34,1,3,3.090909091
INIPD0000,Indianapolis Police Department,0,1919,1763,#DIV/0!,#DIV/0!,#DIV/0!
KS0460500,Olathe Police Department,29,55,52,1,1.896551724,1.793103448
KS0460900,Shawnee Police Department,23,32,33,1,1.391304348,1.434782609
KS0461000,Lenexa Police Department,6,15,15,1,2.5,2.5
KS0810000,Riley County Police Department,42,38,35,1,0.904761905,0.833333333
KS0890000,Shawnee County Sheriff's Office,19,20,17,1,1.052631579,0.894736842
KY0080000,Boone County Sheriff's Office,2,3,3,1,1.5,1.5
KY0300100,Owensboro Police Department,12,13,19,1,1.083333333,1.583333333
KY0340200,Lexington Police Department,114,132,123,1,1.157894737,1.078947368
KY0470000,Hardin County Sheriff's Office,2,5,1,1,2.5,0.5
KY0568000,Louisville Metro Police Department,1097,1661,2045,1,1.514129444,1.864175023
KY0630000,Laurel County Sheriff's Office,1,3,3,1,3,3
KY0930400,Oldham County Police Department,0,1,0,#DIV/0!,#DIV/0!,#DIV/0!
KY1000000,Pulaski County Sheriff's Office,1,8,1,1,8,1
KY1140000,Warren County Sheriff's Office,3,6,4,1,2,1.333333333
KY1140100,Bowling Green Police Department,12,26,17,1,2.166666667,1.416666667
LA0030000,Ascension Parish Sheriff's Office,61,103,116,1,1.68852459,1.901639344
LA0100000,Calcasieu Parish Sheriff's Office,80,111,106,1,1.3875,1.325
LA0290000,Lafourche Parish Sheriff's Office,44,70,78,1,1.590909091,1.772727273
LA0370000,Ouachita Parish Sheriff's Office,85,108,116,1,1.270588235,1.364705882
LA0400000,Rapides Parish Sheriff's Office,46,79,82,1,1.717391304,1.782608696
MA0030800,Fall River Police Department,45,48,70,1,1.066666667,1.555555556
MA0031100,New Bedford Police Department,33,43,44,1,1.303030303,1.333333333
MA0031900,Taunton Police Department,14,16,13,1,1.142857143,0.928571429
MA0051100,Haverhill Police Department,23,18,23,1,0.782608696,1
MA0051400,Lynn Police Department,44,42,37,1,0.954545455,0.840909091
MA0051900,Methuen Police Department,9,3,2,1,0.333333333,0.222222222
MA0052500,Peabody Police Department,0,5,13,#DIV/0!,#DIV/0!,#DIV/0!
MA0070500,Chicopee Police Department,15,19,16,1,1.266666667,1.066666667
MA0071800,Springfield Police Department,159,207,230,1,1.301886792,1.446540881
MA0091100,Cambridge Police Department,18,17,28,1,0.944444444,1.555555556
MA0091800,Framingham Police Department,8,12,7,1,1.5,0.875
MA0092600,Lowell Police Department,27,37,47,1,1.37037037,1.740740741
MA0092700,Malden Police Department,11,9,13,1,0.818181818,1.181818182
MA0093000,Medford Police Department,10,7,5,1,0.7,0.5
MA0093300,Newton Police Department,2,1,2,1,0.5,1
MA0093900,Somerville Police Department,15,11,14,1,0.733333333,0.933333333
MA0094700,Waltham Police Department,0,5,3,#DIV/0!,#DIV/0!,#DIV/0!
MA0110400,Brookline Police Department,0,1,1,#DIV/0!,#DIV/0!,#DIV/0!
MA0112000,Quincy Police Department,6,7,13,1,1.166666667,2.166666667
MA0112700,Weymouth Police Department,3,3,5,1,1,1.666666667
MA0120300,Brockton Police Department,61,68,72,1,1.114754098,1.180327869
MA0122000,Plymouth Police Department,8,4,5,1,0.5,0.625
MA0130400,Revere Police Department,16,15,12,1,0.9375,0.75
MA0146000,Worcester Police Department,111,140,121,1,1.261261261,1.09009009
MD0160400,Montgomery County Police Department,84,124,165,1,1.476190476,1.964285714
ME0060000,Kennebec County Sheriff's Office,2,3,0,1,1.5,0
MI0310300,Allegan County Sheriff's Office,10,8,12,1,0.8,1.2
MI0910900,Bay County Sheriff's Office,4,3,6,1,0.75,1.5
MI1111100,Berrien County Sheriff's Office,10,8,19,1,0.8,1.9
MI1323700,Battle Creek Police Department,81,98,99,1,1.209876543,1.222222222
MI2312300,Eaton County Sheriff's Office,14,32,23,1,2.285714286,1.642857143
MI2539800,Flint Police Department,299,289,305,1,0.966555184,1.02006689
MI2812800,Grand Traverse County Sheriff's Office,10,2,14,1,0.2,1.4
MI3313300,Ingham County Sheriff's Office,13,24,22,1,1.846153846,1.692307692
MI3351900,Lansing Police Department,165,357,408,1,2.163636364,2.472727273
MI3813800,Jackson County Sheriff's Office,17,11,22,1,0.647058824,1.294117647
MI3913900,Kalamazoo County Sheriff's Office,34,59,59,1,1.735294118,1.735294118
MI3949900,Kalamazoo Police Department,136,282,277,1,2.073529412,2.036764706
MI3967800,Portage Police Department,7,15,15,1,2.142857143,2.142857143
MI4114100,Kent County Sheriff's Office,31,51,55,1,1.64516129,1.774193548
MI4143600,Grand Rapids Police Department,129,276,374,1,2.139534884,2.899224806
MI4183400,Wyoming Police Department,43,63,66,1,1.465116279,1.534883721
MI4185000,Kentwood Police Department,11,33,24,1,3,2.181818182
MI4414400,Lapeer County Sheriff's Office,8,7,11,1,0.875,1.375
MI4714700,Livingston County Sheriff's Office,6,9,10,1,1.5,1.666666667
MI5015000,Macomb County Sheriff's Office,27,31,45,1,1.148148148,1.666666667
MI5072200,St. Clair Shores Police Department,10,18,11,1,1.8,1.1
MI5074000,Shelby Township Police Department,9,17,13,1,1.888888889,1.444444444
MI5076500,Sterling Heights Police Department,15,41,36,1,2.733333333,2.4
MI5080600,Warren Police Department,90,122,127,1,1.355555556,1.411111111
MI5084900,Clinton Township Police Department,35,59,55,1,1.685714286,1.571428571
MI5915900,Montcalm County Sheriff's Office,1,3,8,1,3,8
MI6116100,Muskegon County Sheriff's Office,7,6,2,1,0.857142857,0.285714286
MI631900X,Pontiac Police Department,126,145,160,1,1.150793651,1.26984127
MI631910X,Rochester Hills Police Department,5,4,3,1,0.8,0.6
MI6338900,Farmington Hills Police Department,10,13,19,1,1.3,1.9
MI6362700,Novi Police Department,3,12,6,1,4,2
MI6371400,Royal Oak Police Department,3,4,7,1,1.333333333,2.333333333
MI6375100,Southfield Police Department,32,67,98,1,2.09375,3.0625
MI6378400,Troy Police Department,5,11,23,1,2.2,4.6
MI6380800,Waterford Township Police Department,13,22,22,1,1.692307692,1.692307692
MI6381500,West Bloomfield Township Police Department,2,6,10,1,3,5
MI7017000,Ottawa County Sheriff's Office,35,41,52,1,1.171428571,1.485714286
MI7417400,St. Clair County Sheriff's Office,9,19,17,1,2.111111111,1.888888889
MI8018000,Van Buren County Sheriff's Office,11,8,9,1,0.727272727,0.818181818
MI8118100,Washtenaw County Sheriff's Office,67,116,92,1,1.731343284,1.373134328
MI8121800,Ann Arbor Police Department,19,19,28,1,1,1.473684211
MI8234300,Dearborn Police Department,48,85,88,1,1.770833333,1.833333333
MI8234400,Dearborn Heights Police Department,24,55,51,1,2.291666667,2.125
MI8234900,Detroit Police Department,3163,4315,4379,1,1.364211192,1.384445147
MI8253800,Livonia Police Department,27,42,36,1,1.555555556,1.333333333
MI8277500,Taylor Police Department,46,87,76,1,1.891304348,1.652173913
MI8281700,Westland Police Department,33,63,77,1,1.909090909,2.333333333
MI8290800,Canton Township Police Department,11,18,26,1,1.636363636,2.363636364
MN0100000,Carver County Sheriff's Office,2,1,3,1,0.5,1.5
MN0270300,Brooklyn Park Police Department,,76,66,#DIV/0!,#DIV/0!,#DIV/0!
MN0271100,Minneapolis Police Department,486,874,1101,1,1.798353909,2.265432099
MN0550100,Rochester Police Department,20,24,31,1,1.2,1.55
MN0620000,Ramsey County Sheriff's Office,16,24,28,1,1.5,1.75
MN0690000,St. Louis County Sheriff's Office,2,10,6,1,5,3
MO0100200,Columbia Police Department,17,109,123,1,6.411764706,7.235294118
MO0110100,St. Joseph Police Department,62,51,45,1,0.822580645,0.725806452
MO0360000,Franklin County Sheriff's Office,4,5,10,1,1.25,2.5
MO0490700,Joplin Police Department,20,41,28,1,2.05,1.4
MO0920300,St. Charles Police Department,7,35,35,1,5,5
MO0920400,St. Peters Police Department,6,10,9,1,1.666666667,1.5
MOKPD0000,Kansas City Police Department,1565,1947,1910,1,1.244089457,1.220447284
MS0170100,Southaven Police Department,15,16,34,1,1.066666667,2.266666667
MS0240000,Harrison County Sheriff's Office,7,11,9,1,1.571428571,1.285714286
MS0240200,Gulfport Police Department,68,90,76,1,1.323529412,1.117647059
MT0070100,Great Falls Police Department,14,24,33,1,1.714285714,2.357142857
