ori,,inc
MI5080600,Warren Police Department,1
MI5084900,Clinton Township Police Department,1
MI5915900,Montcalm County Sheriff's Office,1
MI6116100,Muskegon County Sheriff's Office,0
MI631900X,Pontiac Police Department,1
MI631910X,Rochester Hills Police Department,0
MI6338900,Farmington Hills Police Department,1
MI6362700,Novi Police Department,1
MI6371400,Royal Oak Police Department,1
MI6375100,Southfield Police Department,1
MI6378400,Troy Police Department,1
MI6380800,Waterford Township Police Department,1
MI6381500,West Bloomfield Township Police Department,1
MI7017000,Ottawa County Sheriff's Office,1
MI7417400,St. Clair County Sheriff's Office,1
MI8018000,Van Buren County Sheriff's Office,0
MI8118100,Washtenaw County Sheriff's Office,1
MI8121800,Ann Arbor Police Department,1
MI8234300,Dearborn Police Department,1
MI8234400,Dearborn Heights Police Department,1
MI8234900,Detroit Police Department,1
MI8253800,Livonia Police Department,1
MI8277500,Taylor Police Department,1
MI8281700,Westland Police Department,1
MI8290800,Canton Township Police Department,1
MN0100000,Carver County Sheriff's Office,1
MN0270300,Brooklyn Park Police Department,0
MN0271100,Minneapolis Police Department,1
MN0550100,Rochester Police Department,1
MN0620000,Ramsey County Sheriff's Office,1
MN0690000,St. Louis County Sheriff's Office,1
MO0100200,Columbia Police Department,1
MO0110100,St. Joseph Police Department,0
MO0360000,Franklin County Sheriff's Office,1
MO0490700,Joplin Police Department,1
MO0920300,St. Charles Police Department,1
MO0920400,St. Peters Police Department,1
MOKPD0000,Kansas City Police Department,1
MS0170100,Southaven Police Department,1
MS0240000,Harrison County Sheriff's Office,1
MS0240200,Gulfport Police Department,1
MT0070100,Great Falls Police Department,1
MT0150000,Flathead County Sheriff's Office,1
MT0160000,Gallatin County Sheriff's Office,1
MT0160100,Bozeman Police Department,1
MT0320100,Missoula Police Department,1
MT0560100,Billings Police Department,1
NB0280000,Douglas County Sheriff's Office,1
NB0400100,Grand Island Police Department,0
NB0770000,Sarpy County Sheriff's Office,0
NB0770100,Bellevue Police Department,0
NC0010000,Alamance County Sheriff's Office,1
NC0010100,Burlington Police Department,1
NC0110000,Buncombe County Sheriff's Office,0
NC0110100,Asheville Police Department,1
NC0120000,Burke County Sheriff's Office,1
NC0130000,Cabarrus County Sheriff's Office,1
NC0130100,Concord Police Department,0
NC0130200,Kannapolis Police Department,1
NC0140000,Caldwell County Sheriff's Office,1
NC0190000,Chatham County Sheriff's Office,1
NC0230000,Cleveland County Sheriff's Office,1
NC0260100,Fayetteville Police Department,1
NC0320100,Durham Police Department,1
NC0330100,Rocky Mount Police Department,1
NC0350000,Franklin County Sheriff's Office,1
NC0410000,Guilford County Sheriff's Office,1
NC0410200,Greensboro Police Department,1
NC0410300,High Point Police Department,0
NC0490000,Iredell County Sheriff's Office,1
